Date/Time,Unit,Value,Sensor
8/2/2017 9:00,C,19.127,MC1H
8/2/2017 9:00,C,26.086,RC1H
8/2/2017 9:00,C,19.083,RC1L
8/2/2017 8:00,C,17.08,MC1L
8/2/2017 8:00,C,18.627,MC1H
8/2/2017 8:00,C,21.585,RC1H
8/2/2017 8:00,C,15.578,RC1L
8/2/2017 7:00,C,16.579,MC1L
8/2/2017 7:00,C,18.126,MC1H
8/2/2017 7:00,C,20.584,RC1H
8/2/2017 7:00,C,14.075,RC1L
8/2/2017 6:00,C,17.582,MC1L
8/2/2017 6:00,C,19.127,MC1H
8/2/2017 6:00,C,21.085,RC1H
8/2/2017 6:00,C,15.077,RC1L
8/2/2017 5:00,C,17.582,MC1L
8/2/2017 5:00,C,19.127,MC1H
8/2/2017 5:00,C,21.585,RC1H
8/2/2017 5:00,C,15.077,RC1L
8/2/2017 4:00,C,17.582,MC1L
8/2/2017 4:00,C,19.127,MC1H
8/2/2017 4:00,C,22.085,RC1H
8/2/2017 4:00,C,15.578,RC1L
8/2/2017 3:00,C,18.083,MC1L
8/2/2017 3:00,C,19.127,MC1H
8/2/2017 3:00,C,22.586,RC1H
8/2/2017 3:00,C,16.078,RC1L
8/2/2017 2:00,C,17.582,MC1L
8/2/2017 2:00,C,19.127,MC1H
8/2/2017 2:00,C,22.586,RC1H
8/2/2017 2:00,C,16.078,RC1L
8/2/2017 1:00,C,17.582,MC1L
8/2/2017 1:00,C,19.628,MC1H
8/2/2017 1:00,C,23.086,RC1H
8/2/2017 1:00,C,16.579,RC1L
8/2/2017 0:00,C,19.084,MC1L
8/2/2017 0:00,C,20.629,MC1H
8/2/2017 0:00,C,23.586,RC1H
8/2/2017 0:00,C,17.581,RC1L
8/1/2017 23:00,C,19.585,MC1L
8/1/2017 23:00,C,21.129,MC1H
8/1/2017 23:00,C,25.086,RC1H
8/1/2017 23:00,C,18.582,RC1L
8/1/2017 22:00,C,20.587,MC1L
8/1/2017 22:00,C,22.13,MC1H
8/1/2017 22:00,C,26.586,RC1H
8/1/2017 22:00,C,20.084,RC1L
8/1/2017 21:00,C,22.589,MC1L
8/1/2017 21:00,C,23.631,MC1H
8/1/2017 21:00,C,29.084,RC1H
8/1/2017 21:00,C,23.086,RC1L
8/1/2017 20:00,C,25.09,MC1L
8/1/2017 20:00,C,26.131,MC1H
8/1/2017 20:00,C,36.073,RC1H
8/1/2017 20:00,C,28.584,RC1L
8/1/2017 19:00,C,26.59,MC1L
8/1/2017 19:00,C,27.63,MC1H
8/1/2017 19:00,C,43.052,RC1H
8/1/2017 19:00,C,31.581,RC1L
8/1/2017 18:00,C,29.588,MC1L
8/1/2017 18:00,C,28.13,MC1H
8/1/2017 18:00,C,51.015,RC1H
8/1/2017 18:00,C,35.075,RC1L
8/1/2017 17:00,C,28.589,MC1L
8/1/2017 17:00,C,29.629,MC1H
8/1/2017 17:00,C,57.476,RC1H
8/1/2017 17:00,C,42.055,RC1L
8/1/2017 16:00,C,29.088,MC1L
8/1/2017 16:00,C,29.629,MC1H
8/1/2017 16:00,C,60.952,RC1H
8/1/2017 16:00,C,46.04,RC1L
8/1/2017 15:00,C,31.086,MC1L
8/1/2017 15:00,C,28.63,MC1H
8/1/2017 15:00,C,60.455,RC1H
